X;Y;id_local;reseau_loc;nom_loc;id_osm;num_iti;code_com_d;ame_d;regime_d;sens_d;largeur_d;local_d;statut_d;revet_d;code_com_g;ame_g;regime_g;sens_g;largeur_g;local_g;statut_g;revet_g;access_ame;date_maj;trafic_vit;lumiere;d_service;comm;source;project_c;ref_geo
5.74092605;45.188617450474;;;;way/1204887837;;"38185";BANDE CYCLABLE;ZONE 30;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;"38185";BANDE CYCLABLE;ZONE 30;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;ROLLER;2023-09-19;"30";true;;;OpenStreetMap;WGS84;
5.74039373389423;45.1889722362049;;;;way/991274869;;"38185";BANDE CYCLABLE;ZONE 30;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;"38185";AUTRE;ZONE 30;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;ROLLER;2024-07-10;"30";true;;;OpenStreetMap;WGS84;
5.74004290392445;45.1892804123986;;;;way/1303028677;;"38185";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;;BIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;MEUBLE;"38185";AUCUN;;;;;EN SERVICE;MEUBLE;;2024-07-22;;;;;OpenStreetMap;WGS84;
5.74004937564181;45.189327511615;;;;way/1302870545;;"38185";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;;BIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;MEUBLE;"38185";AUCUN;;;;;EN SERVICE;MEUBLE;;2024-07-22;;;;;OpenStreetMap;WGS84;
5.74053150433568;45.1890210119597;;;;way/1292739387;;"38185";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;;BIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;MEUBLE;"38185";AUCUN;;;;;EN SERVICE;MEUBLE;VTC;2024-07-21;;;;;OpenStreetMap;WGS84;
5.72143774700718;45.1725501888078;D 269E;;;way/497474714;;"38185";BANDE CYCLABLE;EN AGGLOMERATION;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;"38185";BANDE CYCLABLE;EN AGGLOMERATION;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;ROLLER;2024-06-14;"50";true;;;OpenStreetMap;WGS84;
5.71982207545978;45.1729980661784;D 269E;;;way/497474716;;"38185";BANDE CYCLABLE;EN AGGLOMERATION;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;"38185";BANDE CYCLABLE;EN AGGLOMERATION;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;ROLLER;2024-06-26;"50";true;;;OpenStreetMap;WGS84;
5.71768025;45.1736035504568;D 269E;;;way/878181700;;"38185";BANDE CYCLABLE;EN AGGLOMERATION;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;"38185";BANDE CYCLABLE;EN AGGLOMERATION;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;ROLLER;2024-06-26;"50";true;;;OpenStreetMap;WGS84;
5.71681285;45.1739571004516;;;;way/686912463;;"38185";PISTE CYCLABLE;;BIDIRECTIONNEL;;TROTTOIR;EN SERVICE;LISSE;"38185";AUCUN;;;;;EN SERVICE;LISSE;;2020-11-27;;true;;;OpenStreetMap;WGS84;
5.71662848828573;45.1738911792212;D 269E;;;way/376549064;;"38185";BANDE CYCLABLE;EN AGGLOMERATION;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;"38185";BANDE CYCLABLE;EN AGGLOMERATION;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;ROLLER;2024-06-26;"50";true;;;OpenStreetMap;WGS84;cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010
